entry_date,exit_date,direction,entry_price,exit_price,size,pnl,return,outcome,hold_days
2023-06-12,2023-06-13,SHORT,60.24,62.1836,100,-194.36,-0.031255,Stop-loss,1
2023-07-07,2023-07-13,LONG,65.85,68.9729,100,312.29,0.047424,Successful,6
2023-07-24,2023-08-04,LONG,70.69,73.5829,100,289.29,0.040923,Successful,11
2023-08-09,2023-08-14,LONG,75.1,73.6914,100,-140.86,-0.018756,Stop-loss,5
2023-09-01,2023-09-12,LONG,76.92,79.7614,100,284.14,0.03694,Successful,11
2023-09-14,2023-09-25,LONG,81.12,79.7771,100,-134.29,-0.016554,Stop-loss,11
2023-09-27,2023-09-28,LONG,82.9,81.5943,100,-130.57,-0.01575,Stop-loss,1
2023-10-04,2023-10-09,SHORT,75.59,77.2764,100,-168.64,-0.021823,Stop-loss,5
2023-11-07,2023-11-21,SHORT,71.8,72.53,100,-73.0,-0.010065,Timed out,14
2023-12-06,2023-12-14,SHORT,64.76,67.1771,100,-241.71,-0.035982,Stop-loss,8
2024-01-25,2024-02-01,LONG,72.23,70.3943,100,-183.57,-0.025415,Stop-loss,7
2024-03-01,2024-03-05,LONG,74.96,73.4721,100,-148.79,-0.019849,Stop-loss,4
2024-03-14,2024-03-28,LONG,76.3,78.73,100,243.0,0.031848,Timed out,14
2024-04-01,2024-04-04,LONG,79.67,82.2171,100,254.71,0.031971,Successful,3
2024-05-01,2024-05-15,SHORT,75.93,75.88,100,5.0,0.000659,Timed out,14
2024-06-03,2024-06-06,SHORT,71.83,73.3929,100,-156.29,-0.021294,Stop-loss,3
2024-06-17,2024-07-01,LONG,77.79,80.8029,100,301.29,0.038731,Successful,14
2024-07-19,2024-07-29,SHORT,78.0,75.23,100,277.0,0.03682,Successful,10
2024-07-30,2024-07-31,SHORT,74.46,76.0164,100,-155.64,-0.020475,Stop-loss,1
2024-08-02,2024-08-08,SHORT,73.39,75.3921,100,-200.21,-0.026556,Stop-loss,6
2024-09-03,2024-09-10,SHORT,71.09,66.93,100,416.0,0.062154,Successful,7
2024-10-03,2024-10-09,LONG,75.73,73.575,100,-215.5,-0.028456,Stop-loss,6
2024-12-30,2025-01-02,LONG,74.82,77.4571,100,263.71,0.035246,Successful,3
2025-01-03,2025-01-10,LONG,77.92,80.5129,100,259.29,0.033276,Successful,7
2025-01-13,2025-01-21,LONG,82.23,80.5943,100,-163.57,-0.019892,Stop-loss,8
2025-02-06,2025-02-10,SHORT,75.45,77.0557,100,-160.57,-0.020838,Stop-loss,4
2025-02-25,2025-02-27,SHORT,74.13,75.5364,100,-140.64,-0.018619,Stop-loss,2
2025-03-03,2025-03-05,SHORT,73.32,70.3614,100,295.86,0.042048,Successful,2
2025-03-31,2025-04-03,LONG,77.33,76.0407,100,-128.93,-0.016673,Stop-loss,3
2025-04-04,2025-04-08,SHORT,67.92,63.8071,100,411.29,0.064458,Successful,4
